Production Schedule Report
Report Date: 7/21/2024 4:42:18 AM
Report Source:WWW.ASHLEYSUPPLIER.COM
"Report Criteria:Item:ALL Whse: Vendor:626704 DRP Planner:ALL FC Planner:ALL Past Weeks:6 Future Weeks:12 RP Filter:On C & CNW Filter:Off Order Types Selected:Planned, Firmed, Shipped Report By: Item Qty"
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------

Item #,Whse,Vendor #,S/F/P, 6/15, 6/22, 6/29, 7/6, 7/13, 7/20, 7/27, 8/3, 8/10, 8/17, 8/24, 8/31, 9/7, 9/14, 9/21, 9/28, 10/5, 10/12, 10/19
="2190438","5","626704","S","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2190438","5","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2190438","5","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620508","C","626704","S","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620508","C","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620508","C","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620515","C","626704","S","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620515","C","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620515","C","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620520","1","626704","S","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620520","1","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620520","1","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620520","28","626704","S","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620520","28","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620520","28","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620520","C","626704","S","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620520","C","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620520","C","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620521","C","626704","S","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620521","C","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620521","C","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620535","C","626704","S","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620535","C","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620535","C","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620538","C","626704","S","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620538","C","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2620538","C","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","1","626704","S","0","0","0","0","0","159","45","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","1","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","1","626704","P","0","0","0","0","0","0","0","0","0","1","15","14","15","16","16","16","15","18","17"
="2650516","15","626704","S","0","0","0","0","129","0","28","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","15","626704","F","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","15","626704","P","0","0","0","0","0","0","0","0","0","0","19","19","18","20","21","21","20","19","22"
="2650516","17","626704","S","0","0","0","0","112","0","17","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","17","626704","F","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","17","626704","P","0","0","0","0","0","0","0","0","0","6","11","12","13","13","13","13","12","15","13"
="2650516","28","626704","S","0","0","0","0","0","9","2","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","28","626704","F","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0"
="2650516","28","626704","P","0","0","0","0","0","0","0","0","0","3","4","3","2","3","2","3","3","3","3"
="2650516","335","626704","S","0","0","0","0","17","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","335","626704","F","0","0","0","0","0","0","10","5","20","0","0","0","0","0","0","0","0","0","0"
="2650516","335","626704","P","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
="2650516","42","626704","S","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","42","626704","F","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
="2650516","42","626704","P","0","0","0","0","0","0","0","0","0","0","4","5","5","5","4","6","6","5","6"
="2650516","5","626704","S","0","0","0","78","19","0","59","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","5","626704","F","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0"
="2650516","5","626704","P","0","0","0","0","0","0","0","0","0","0","17","18","15","15","15","13","17","17","16"
="2650516","ECR","626704","S","0","0","0","56","0","13","23","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","ECR","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2650516","ECR","626704","P","0","0","0","0","0","0","0","0","0","4","7","7","7","8","8","7","7","8","8"
="2650545","1","626704","S","0","0","0","0","32","152","12","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","1","626704","F","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0"
="2650545","1","626704","P","0","0","0","0","0","0","0","0","0","0","9","14","15","16","16","15","15","17","17"
="2650545","15","626704","S","0","0","0","170","25","0","21","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","15","626704","F","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","15","626704","P","0","0","0","0","0","0","0","0","0","0","18","19","19","19","21","22","20","19","23"
="2650545","17","626704","S","0","0","73","0","46","0","15","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","17","626704","F","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","17","626704","P","0","0","0","0","0","0","0","0","0","31","0","1","13","13","14","13","12","14","14"
="2650545","28","626704","S","0","0","0","7","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","28","626704","F","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0"
="2650545","28","626704","P","0","0","0","0","0","0","0","0","0","0","4","3","2","3","2","3","3","3","3"
="2650545","335","626704","S","0","0","0","0","15","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","335","626704","F","0","0","0","0","0","0","12","0","29","0","0","0","0","0","0","0","0","0","0"
="2650545","335","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","42","626704","S","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","42","626704","F","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0"
="2650545","42","626704","P","0","0","0","0","0","0","0","0","0","0","5","5","5","5","4","6","6","5","6"
="2650545","5","626704","S","0","0","0","55","14","0","86","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","5","626704","F","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0"
="2650545","5","626704","P","0","0","0","0","0","0","0","0","0","1","17","18","15","15","15","14","17","17","16"
="2650545","ECR","626704","S","0","0","0","0","0","1","35","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","ECR","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="2650545","ECR","626704","P","0","0","0","0","0","0","0","0","0","4","7","7","7","8","8","7","8","8","8"
="3620621","C","626704","S","162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="3620621","C","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="3620621","C","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="6800645","C","626704","S","0","330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="6800645","C","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="6800645","C","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="6800745","C","626704","S","0","1009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="6800745","C","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="6800745","C","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","1","626704","S","111","0","0","0","0","0","352","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","1","626704","F","0","0","0","0","0","0","48","20","0","0","0","0","0","0","0","0","0","0","0"
="7160545","1","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","2","34","31","20","21","20"
="7160545","15","626704","S","0","54","0","0","0","0","313","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","15","626704","F","0","0","0","0","0","0","88","83","0","0","0","0","0","0","0","0","0","0","0"
="7160545","15","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","39","37","23","26"
="7160545","17","626704","S","51","0","0","0","6","45","520","38","0","0","0","0","0","0","0","0","0","0","0"
="7160545","17","626704","F","0","0","0","0","0","0","23","71","0","0","0","0","0","0","0","0","0","0","0"
="7160545","17","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","28","31","28"
="7160545","28","626704","S","0","0","0","47","0","82","100","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","28","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","28","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","17","17","17","10"
="7160545","42","626704","S","0","0","28","0","0","52","0","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","42","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","42","626704","P","0","0","0","0","0","0","0","0","0","0","0","4","3","3","6","5","6","6","4"
="7160545","5","626704","S","124","94","0","0","0","0","143","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","5","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","5","626704","P","0","0","0","0","0","0","0","0","0","7","35","11","11","11","11","19","19","20","18"
="7160545","ECR","626704","S","58","29","0","0","20","0","318","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","ECR","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="7160545","ECR","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","21"
="A3000029","1","626704","S","37","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","1","626704","F","0","0","0","0","0","0","0","143","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","1","626704","P","0","0","0","0","0","0","0","0","0","8","15","14","17","16","16","16","14","17","15"
="A3000029","15","626704","S","0","19","0","0","9","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","15","626704","F","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","15","626704","P","0","0","0","0","0","0","0","0","0","8","6","6","6","7","7","7","6","6","7"
="A3000029","17","626704","S","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","17","626704","F","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","17","626704","P","0","0","0","0","0","0","0","0","1","11","11","11","14","13","12","12","12","12","12"
="A3000029","28","626704","S","0","0","0","31","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","28","626704","F","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","28","626704","P","0","0","0","0","0","0","0","0","0","5","15","11","10","11","11","11","13","11","11"
="A3000029","335","626704","S","18","0","6","13","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","335","626704","F","0","0","0","0","0","0","24","5","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","335","626704","P","0","0","0","0","0","0","0","0","0","0","0","6","7","7","7","10","6","7","7"
="A3000029","42","626704","S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","42","626704","F","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","42","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","3","2","2","3"
="A3000029","5","626704","S","0","0","10","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","5","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","5","626704","P","0","0","0","0","0","0","0","0","0","1","8","11","8","8","8","8","9","8","9"
="A3000029","ECR","626704","S","30","0","0","0","17","23","75","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","ECR","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000029","ECR","626704","P","0","0","0","0","0","0","0","0","0","0","0","3","17","16","16","15","15","16","15"
="A3000030","1","626704","S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","1","626704","F","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","1","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","15","626704","S","0","0","0","21","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","15","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","15","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","17","626704","S","0","11","0","0","17","0","21","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","17","626704","F","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","17","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","335","626704","S","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","335","626704","F","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","335","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","42","626704","S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","42","626704","F","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","42","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","5","626704","S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","5","626704","F","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","5","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","ECR","626704","S","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","ECR","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000030","ECR","626704","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","1","626704","S","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","1","626704","F","0","0","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","1","626704","P","0","0","0","0","0","0","0","0","16","9","9","8","12","9","10","9","7","10","9"
="A3000031","15","626704","S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","15","626704","F","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","15","626704","P","0","0","0","0","0","0","0","0","33","8","7","7","6","8","8","7","7","6","7"
="A3000031","17","626704","S","0","8","0","0","3","0","88","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","17","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","17","626704","P","0","0","0","0","0","0","0","0","45","14","14","14","18","16","16","15","15","16","15"
="A3000031","28","626704","S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","28","626704","F","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","28","626704","P","0","0","0","0","0","0","0","0","9","4","6","3","4","4","3","4","4","4","4"
="A3000031","335","626704","S","10","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","335","626704","F","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","335","626704","P","0","0","0","0","0","0","0","0","6","12","7","14","14","12","13","15","12","13","13"
="A3000031","42","626704","S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","42","626704","F","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","42","626704","P","0","0","0","0","0","0","0","0","1","2","2","2","2","2","2","2","2","2","2"
="A3000031","5","626704","S","74","0","0","0","7","0","24","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","5","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","5","626704","P","0","0","0","0","0","0","0","0","15","8","8","11","9","8","8","8","9","10","9"
="A3000031","ECR","626704","S","0","50","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","ECR","626704","F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000031","ECR","626704","P","0","0","0","0","0","0","0","0","28","8","7","8","8","9","9","8","8","9","8"
="A3000054","1","626704","S","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
="A3000054","1","626704","F","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
="A3000054","1","626704","P","0","0","0","0","0","0","0","0","0","0","1","1","1","2","2","1","2","1","1"
